Date,spend_acf,spend_aer,spend_all,spend_apg,spend_grf,spend_hcs,spend_tws,spend_all_inchigh,spend_all_inclow,spend_all_incmiddle
2020-02-11,-0.0272,0.0713,-0.00436,0.0008759999999999999,0.0338,-0.0841,-0.0594,-0.0114,-0.0024,-0.00836
2020-02-11,0.0241,0.2,0.0192,0.0532,-0.0349,0.0171,0.147,0.0603,-0.0331,-0.0168
2020-02-11,-0.0413,0.0271,0.00965,-0.0469,0.0159,0.0462,0.0142,0.015,0.0253,-0.000459
2020-02-11,-0.0156,0.00029,0.0189,-0.00626,0.0624,0.0452,-0.0523,0.10300000000000001,0.0121,0.022000000000000002
2020-02-11,-0.0325,0.0129,0.0135,-0.0268,0.0402,0.0265,-0.0051600000000000005,0.0131,0.0329,0.0104
2020-02-11,-0.0906,0.0335,-0.0272,-0.0913,0.0149,-0.039,-0.085,-0.0358,-0.0101,-0.0197
2020-02-11,-0.0668,0.166,-0.0354,0.00349,-0.0704,-0.0198,-0.0965,-0.0269,-0.0714,-0.0495
2020-02-11,-0.115,-0.28300000000000003,-0.0429,-0.0398,0.0054,-0.212,-0.152,-0.00943,-0.0677,-0.0574
2020-02-11,-0.0611,0.0135,-0.022000000000000002,-0.0366,0.0685,-0.07,-0.0638,-0.007490000000000001,-0.0331,-0.0733
2020-02-11,-0.0489,-0.0668,-0.0134,-0.0139,0.0304,0.0268,-0.0825,-0.0247,-0.007359999999999999,-0.0131
2020-02-11,-0.0581,0.0983,-0.0215,-0.0479,0.037000000000000005,0.0151,-0.0883,-0.0148,-0.0325,-0.0228
2020-02-11,-0.0462,0.0576,-0.0427,-0.0686,-0.00366,-0.2,-0.073,-0.0304,-0.0188,-0.0631
2020-02-11,-0.0227,-0.1,0.00132,0.00866,0.0315,-0.555,0.0217,-0.037000000000000005,0.00425,0.00968
2020-02-11,-0.0592,0.0042,-0.0186,-0.0199,0.0615,-0.106,-0.0335,-0.0486,-0.0209,-0.00213
2020-02-11,-0.0439,-0.0901,-0.0242,-0.0135,0.0489,-0.11199999999999999,-0.10400000000000001,-0.0296,0.00657,-0.0444
2020-02-11,0.0155,-0.0426,0.0464,0.109,0.0384,-0.0817,-0.0257,0.0496,0.0171,0.0505
2020-02-11,-0.0389,-0.00742,-0.0047,0.0412,-0.0009699999999999999,-0.0166,-0.136,0.0134,0.0157,-0.0195
2020-02-11,-0.0372,-0.0618,-0.0258,-0.005529999999999999,0.0305,0.0534,-0.127,-0.0179,-0.0332,-0.0198
2020-02-11,-0.0377,-0.336,-0.0307,-0.0241,0.0195,-0.0282,-0.092,-0.0793,-0.0331,-0.0192
2020-02-11,-0.133,-0.0814,-0.0453,-0.0937,-0.0154,-0.106,-0.0695,-0.0326,-0.0708,-0.0371
2020-02-11,-0.0522,0.10300000000000001,-0.0196,-0.0128,0.0296,0.204,-0.10400000000000001,-0.0203,0.0173,-0.0346
2020-02-11,-0.0622,-0.0949,-0.0417,-0.0797,-0.0293,0.135,-0.0935,-0.0375,-0.071,-0.0519
2020-02-11,-0.00421,0.0581,-0.0174,-0.0371,0.0158,-0.0209,-0.121,-0.0534,-0.0004969999999999999,-0.0211
2020-02-11,0.0060799999999999995,0.0568,0.0359,0.0604,0.0297,0.0884,-0.0168,0.0388,0.0398,0.0331
2020-02-11,-0.0433,0.0349,-0.0443,-0.0208,0.0306,0.0398,-0.14400000000000002,0.0179,-0.0592,-0.0514
2020-02-11,-0.0377,-0.273,0.00217,0.0996,0.0494,-0.45399999999999996,-0.0878,-0.0211,-0.0049700000000000005,0.0105
2020-02-11,0.10099999999999999,-0.132,0.0855,0.17800000000000002,-0.00525,0.201,-0.0303,-0.301,0.136,0.0558
2020-02-11,0.00265,-0.0939,0.0328,0.0355,0.0209,0.212,-0.00245,0.0222,0.0543,0.0342
2020-02-11,0.0311,0.00611,0.016,-0.0077599999999999995,0.03,0.0238,0.0271,0.002,0.0957,0.00165
2020-02-11,-0.0509,-0.114,-0.0216,-0.0539,-0.0443,-0.14400000000000002,-0.0606,-0.0272,-0.006670000000000001,-0.0179
2020-02-11,-0.0301,0.0182,-0.0168,-0.0199,-0.00433,-0.0562,-0.0719,-0.0178,-0.00957,-0.0146
2020-02-11,-0.113,0.0201,-0.0235,-0.0138,0.054000000000000006,-0.165,-0.0976,-0.11800000000000001,-0.0303,-0.00634
2020-02-11,-0.084,0.0263,-0.0534,-0.0681,-0.0155,-0.0196,-0.099,-0.0473,-0.0666,-0.0565
2020-02-11,-0.0511,-0.00481,-0.0132,-0.0467,0.0429,-0.0189,-0.069,-0.0165,-0.008159999999999999,-0.0141
2020-02-11,0.00919,0.009470000000000001,0.0412,0.0778,0.0498,-0.04,0.0327,0.0358,0.0396,0.0417
2020-02-11,-0.0694,-0.0708,-0.0344,0.0109,0.0356,-0.0463,-0.16899999999999998,-0.081,-0.0326,-0.0272
2020-02-11,-0.0322,0.00605,-0.0356,-0.0053,-0.0139,-0.0509,-0.0934,-0.0249,-0.0393,-0.0303
2020-02-11,0.0553,0.129,0.0438,0.14,0.0169,-0.019,0.0787,0.0013599999999999999,0.0381,0.0554
2020-02-11,-0.04,-0.0359,-0.0345,-0.051,-0.0070799999999999995,0.0199,-0.0711,-0.0344,-0.0233,-0.0401
2020-02-11,-0.0923,-0.145,-0.0496,-0.0334,-0.17,-0.319,0.121,-0.113,-0.0687,0.0245
2020-02-11,-0.0385,-0.08,-0.0212,-0.0498,0.043,-0.0696,-0.0874,-0.0222,-0.0376,-0.0154
2020-02-11,0.0128,0.0902,0.0685,0.0715,0.0223,0.23399999999999999,-0.0335,-0.04,0.121,0.0805
2020-02-11,-0.0674,-0.0276,-0.0212,-0.00678,0.0332,0.0104,-0.0974,0.0102,-0.028999999999999998,-0.0187
2020-02-11,-0.0107,0.0916,-0.00586,-0.0133,0.0163,-0.0011300000000000001,-0.0372,-0.0038200000000000005,-0.0139,-0.00439
2020-02-11,-0.0533,-0.0209,0.0113,0.0403,0.0513,0.000309,-0.0396,0.031,-0.0229,0.0017
2020-02-11,-0.111,0.065,-0.0554,-0.196,0.00285,-0.136,-0.139,-0.0711,-0.00909,-0.0605
2020-02-11,-0.055,0.11,-0.0361,-0.0419,0.0309,0.0133,-0.0562,-0.0366,-0.0281,-0.0393
2020-02-11,0.177,0.22699999999999998,0.134,0.198,-0.0414,0.37200000000000005,0.151,0.146,0.138,0.11699999999999999
2020-02-11,-0.129,-0.0754,-0.0671,0.022000000000000002,-0.0231,0.0679,-0.0972,-0.0578,-0.0567,-0.0689
2020-02-11,-0.0418,0.00257,-0.008709999999999999,0.0059700000000000005,0.0168,-0.0179,-0.0648,-0.0141,-0.0177,-0.00702
2020-02-11,-0.073,-0.239,0.00705,-0.0695,0.0276,0.39399999999999996,0.0147,0.00878,-0.0261,0.00468
2020-02-12,-0.0336,0.134,0.00352,0.00835,0.0595,-0.091,-0.0531,-0.008709999999999999,0.0159,-0.0018399999999999998
2020-02-12,-0.0222,0.413,0.0296,0.0266,-0.0341,-0.24,0.22899999999999998,0.0869,-0.0103,-0.00206
2020-02-12,-0.0392,0.036000000000000004,0.0128,-0.0292,-0.00809,-0.0189,0.0224,0.0171,0.0282,0.00421
2020-02-12,-0.0028899999999999998,-0.0165,0.0215,0.006540000000000001,0.0374,-0.134,-0.0452,0.14300000000000002,0.0236,0.019
2020-02-12,-0.0258,0.0634,0.0114,-0.0159,0.0302,0.0267,-0.00426,0.0125,0.0215,0.00695
2020-02-12,-0.0954,0.0837,-0.0251,-0.0873,0.018000000000000002,-0.0259,-0.0775,-0.0292,-0.0178,-0.0217
2020-02-12,-0.0396,0.295,0.0033299999999999996,0.0856,-0.0285,0.0173,-0.10800000000000001,0.00877,-0.0413,-0.00815
2020-02-12,-0.0766,-0.217,0.00209,0.0037600000000000003,0.0277,0.311,0.0514,0.0248,0.0623,-0.0123
2020-02-12,-0.145,0.315,-0.00617,-0.017,0.062,-0.0942,-0.0196,0.0155,0.0569,-0.134
2020-02-12,-0.0491,-0.0291,-0.0128,-0.00503,0.0196,-0.0256,-0.0775,-0.0256,-0.009559999999999999,-0.0107
2020-02-12,-0.0523,0.152,-0.00992,-0.0333,0.0505,-0.0922,-0.08199999999999999,0.0049700000000000005,-0.0242,-0.0139
2020-02-12,-0.0569,0.0769,-0.0186,-0.0356,-0.0255,0.106,-0.051,-0.0308,0.0304,-0.00902
2020-02-12,-0.0304,-0.0845,0.0176,0.018000000000000002,0.0236,-0.392,0.0604,-0.0312,0.00394,0.0278
2020-02-12,-0.055999999999999994,0.0446,-0.0135,-0.0112,0.0595,0.0169,-0.0185,-0.0414,-0.0103,0.00371
2020-02-12,-0.0485,-0.0821,-0.0245,0.0583,0.0638,0.161,-0.0896,-0.0287,0.0017800000000000001,-0.0393
2020-02-12,0.005679999999999999,0.0574,0.06,0.10400000000000001,0.0544,0.0206,0.0152,0.0684,0.0443,0.0535
2020-02-12,-0.0488,0.0862,-0.0047799999999999995,-0.00472,-0.0224,0.23600000000000002,-0.168,-0.00186,0.0251,-0.024
2020-02-12,-0.0387,0.0424,-0.0161,0.00257,0.0322,0.0426,-0.12300000000000001,0.00877,-0.0269,-0.00605
2020-02-12,-0.0311,-0.32,-0.024,-0.0385,0.017,0.0712,-0.0572,-0.0936,-0.0102,-0.0183
