Date,statefips
2020-02-11,1
2020-02-11,2
2020-02-11,4
2020-02-11,5
2020-02-11,6
2020-02-11,8
2020-02-11,9
2020-02-11,10
2020-02-11,11
2020-02-11,12
2020-02-11,13
2020-02-11,15
2020-02-11,16
2020-02-11,17
2020-02-11,18
2020-02-11,19
2020-02-11,20
2020-02-11,21
2020-02-11,22
2020-02-11,23
2020-02-11,24
2020-02-11,25
2020-02-11,26
2020-02-11,27
2020-02-11,28
2020-02-11,29
2020-02-11,30
2020-02-11,31
2020-02-11,32
2020-02-11,33
2020-02-11,34
2020-02-11,35
2020-02-11,36
2020-02-11,37
2020-02-11,38
2020-02-11,39
2020-02-11,40
2020-02-11,41
2020-02-11,42
2020-02-11,44
2020-02-11,45
2020-02-11,46
2020-02-11,47
2020-02-11,48
2020-02-11,49
2020-02-11,50
2020-02-11,51
2020-02-11,53
2020-02-11,54
2020-02-11,55
2020-02-11,56
2020-02-12,1
2020-02-12,2
2020-02-12,4
2020-02-12,5
2020-02-12,6
2020-02-12,8
2020-02-12,9
2020-02-12,10
2020-02-12,11
2020-02-12,12
2020-02-12,13
2020-02-12,15
2020-02-12,16
2020-02-12,17
2020-02-12,18
2020-02-12,19
2020-02-12,20
2020-02-12,21
2020-02-12,22
2020-02-12,23
2020-02-12,24
2020-02-12,25
2020-02-12,26
2020-02-12,27
2020-02-12,28
2020-02-12,29
2020-02-12,30
2020-02-12,31
2020-02-12,32
2020-02-12,33
2020-02-12,34
2020-02-12,35
2020-02-12,36
2020-02-12,37
2020-02-12,38
2020-02-12,39
2020-02-12,40
2020-02-12,41
2020-02-12,42
2020-02-12,44
2020-02-12,45
2020-02-12,46
2020-02-12,47
2020-02-12,48
2020-02-12,49
2020-02-12,50
2020-02-12,51
2020-02-12,53
2020-02-12,54
2020-02-12,55
2020-02-12,56
2020-02-13,1
2020-02-13,2
2020-02-13,4
2020-02-13,5
2020-02-13,6
2020-02-13,8
2020-02-13,9
2020-02-13,10
2020-02-13,11
2020-02-13,12
2020-02-13,13
2020-02-13,15
2020-02-13,16
2020-02-13,17
2020-02-13,18
2020-02-13,19
2020-02-13,20
2020-02-13,21
2020-02-13,22
2020-02-13,23
2020-02-13,24
2020-02-13,25
2020-02-13,26
2020-02-13,27
2020-02-13,28
2020-02-13,29
2020-02-13,30
2020-02-13,31
2020-02-13,32
2020-02-13,33
2020-02-13,34
2020-02-13,35
2020-02-13,36
2020-02-13,37
2020-02-13,38
2020-02-13,39
2020-02-13,40
2020-02-13,41
2020-02-13,42
2020-02-13,44
2020-02-13,45
2020-02-13,46
2020-02-13,47
2020-02-13,48
2020-02-13,49
2020-02-13,50
2020-02-13,51
2020-02-13,53
2020-02-13,54
2020-02-13,55
2020-02-13,56
2020-02-14,1
2020-02-14,2
2020-02-14,4
2020-02-14,5
2020-02-14,6
2020-02-14,8
2020-02-14,9
2020-02-14,10
2020-02-14,11
2020-02-14,12
2020-02-14,13
2020-02-14,15
2020-02-14,16
2020-02-14,17
2020-02-14,18
2020-02-14,19
2020-02-14,20
2020-02-14,21
2020-02-14,22
2020-02-14,23
2020-02-14,24
2020-02-14,25
2020-02-14,26
2020-02-14,27
2020-02-14,28
2020-02-14,29
2020-02-14,30
2020-02-14,31
2020-02-14,32
2020-02-14,33
2020-02-14,34
2020-02-14,35
2020-02-14,36
2020-02-14,37
2020-02-14,38
2020-02-14,39
2020-02-14,40
2020-02-14,41
2020-02-14,42
2020-02-14,44
2020-02-14,45
2020-02-14,46
2020-02-14,47
2020-02-14,48
2020-02-14,49
2020-02-14,50
2020-02-14,51
2020-02-14,53
2020-02-14,54
2020-02-14,55
2020-02-14,56
2020-02-15,1
2020-02-15,2
2020-02-15,4
2020-02-15,5
2020-02-15,6
2020-02-15,8
2020-02-15,9
2020-02-15,10
2020-02-15,11
2020-02-15,12
2020-02-15,13
2020-02-15,15
2020-02-15,16
2020-02-15,17
2020-02-15,18
2020-02-15,19
2020-02-15,20
2020-02-15,21
2020-02-15,22
2020-02-15,23
2020-02-15,24
2020-02-15,25
2020-02-15,26
2020-02-15,27
2020-02-15,28
2020-02-15,29
2020-02-15,30
2020-02-15,31
2020-02-15,32
2020-02-15,33
2020-02-15,34
2020-02-15,35
2020-02-15,36
2020-02-15,37
2020-02-15,38
2020-02-15,39
2020-02-15,40
2020-02-15,41
2020-02-15,42
2020-02-15,44
2020-02-15,45
2020-02-15,46
2020-02-15,47
2020-02-15,48
2020-02-15,49
2020-02-15,50
2020-02-15,51
2020-02-15,53
2020-02-15,54
2020-02-15,55
2020-02-15,56
2020-02-16,1
2020-02-16,2
2020-02-16,4
2020-02-16,5
2020-02-16,6
2020-02-16,8
2020-02-16,9
2020-02-16,10
2020-02-16,11
2020-02-16,12
2020-02-16,13
2020-02-16,15
2020-02-16,16
2020-02-16,17
2020-02-16,18
2020-02-16,19
2020-02-16,20
2020-02-16,21
2020-02-16,22
2020-02-16,23
2020-02-16,24
2020-02-16,25
2020-02-16,26
2020-02-16,27
2020-02-16,28
2020-02-16,29
2020-02-16,30
2020-02-16,31
2020-02-16,32
2020-02-16,33
2020-02-16,34
2020-02-16,35
2020-02-16,36
2020-02-16,37
2020-02-16,38
2020-02-16,39
2020-02-16,40
2020-02-16,41
2020-02-16,42
2020-02-16,44
2020-02-16,45
2020-02-16,46
2020-02-16,47
2020-02-16,48
2020-02-16,49
2020-02-16,50
2020-02-16,51
2020-02-16,53
2020-02-16,54
2020-02-16,55
2020-02-16,56
2020-02-17,1
2020-02-17,2
2020-02-17,4
2020-02-17,5
2020-02-17,6
2020-02-17,8
2020-02-17,9
2020-02-17,10
2020-02-17,11
2020-02-17,12
2020-02-17,13
2020-02-17,15
2020-02-17,16
2020-02-17,17
2020-02-17,18
2020-02-17,19
2020-02-17,20
2020-02-17,21
2020-02-17,22
2020-02-17,23
2020-02-17,24
2020-02-17,25
2020-02-17,26
2020-02-17,27
2020-02-17,28
2020-02-17,29
2020-02-17,30
2020-02-17,31
2020-02-17,32
2020-02-17,33
2020-02-17,34
2020-02-17,35
2020-02-17,36
2020-02-17,37
2020-02-17,38
2020-02-17,39
2020-02-17,40
2020-02-17,41
2020-02-17,42
2020-02-17,44
2020-02-17,45
2020-02-17,46
2020-02-17,47
2020-02-17,48
2020-02-17,49
2020-02-17,50
2020-02-17,51
2020-02-17,53
2020-02-17,54
2020-02-17,55
2020-02-17,56
2020-02-18,1
2020-02-18,2
2020-02-18,4
2020-02-18,5
2020-02-18,6
2020-02-18,8
2020-02-18,9
2020-02-18,10
2020-02-18,11
2020-02-18,12
2020-02-18,13
2020-02-18,15
2020-02-18,16
2020-02-18,17
2020-02-18,18
2020-02-18,19
2020-02-18,20
2020-02-18,21
2020-02-18,22
2020-02-18,23
2020-02-18,24
2020-02-18,25
2020-02-18,26
2020-02-18,27
2020-02-18,28
2020-02-18,29
2020-02-18,30
2020-02-18,31
2020-02-18,32
2020-02-18,33
2020-02-18,34
2020-02-18,35
2020-02-18,36
2020-02-18,37
2020-02-18,38
2020-02-18,39
2020-02-18,40
2020-02-18,41
2020-02-18,42
2020-02-18,44
2020-02-18,45
2020-02-18,46
2020-02-18,47
2020-02-18,48
2020-02-18,49
2020-02-18,50
2020-02-18,51
2020-02-18,53
2020-02-18,54
2020-02-18,55
2020-02-18,56
2020-02-19,1
2020-02-19,2
2020-02-19,4
2020-02-19,5
2020-02-19,6
2020-02-19,8
2020-02-19,9
2020-02-19,10
2020-02-19,11
2020-02-19,12
2020-02-19,13
2020-02-19,15
2020-02-19,16
2020-02-19,17
2020-02-19,18
2020-02-19,19
2020-02-19,20
2020-02-19,21
2020-02-19,22
2020-02-19,23
2020-02-19,24
2020-02-19,25
2020-02-19,26
2020-02-19,27
2020-02-19,28
2020-02-19,29
2020-02-19,30
2020-02-19,31
2020-02-19,32
2020-02-19,33
2020-02-19,34
2020-02-19,35
2020-02-19,36
2020-02-19,37
2020-02-19,38
2020-02-19,39
2020-02-19,40
2020-02-19,41
2020-02-19,42
2020-02-19,44
2020-02-19,45
2020-02-19,46
2020-02-19,47
2020-02-19,48
2020-02-19,49
2020-02-19,50
2020-02-19,51
2020-02-19,53
2020-02-19,54
2020-02-19,55
2020-02-19,56
2020-02-20,1
2020-02-20,2
2020-02-20,4
2020-02-20,5
2020-02-20,6
2020-02-20,8
2020-02-20,9
2020-02-20,10
2020-02-20,11
2020-02-20,12
2020-02-20,13
2020-02-20,15
2020-02-20,16
2020-02-20,17
2020-02-20,18
2020-02-20,19
2020-02-20,20
2020-02-20,21
2020-02-20,22
2020-02-20,23
2020-02-20,24
2020-02-20,25
2020-02-20,26
2020-02-20,27
2020-02-20,28
2020-02-20,29
2020-02-20,30
2020-02-20,31
2020-02-20,32
2020-02-20,33
2020-02-20,34
2020-02-20,35
2020-02-20,36
2020-02-20,37
2020-02-20,38
2020-02-20,39
2020-02-20,40
2020-02-20,41
2020-02-20,42
2020-02-20,44
2020-02-20,45
2020-02-20,46
2020-02-20,47
2020-02-20,48
2020-02-20,49
2020-02-20,50
2020-02-20,51
2020-02-20,53
2020-02-20,54
2020-02-20,55
2020-02-20,56
2020-02-21,1
2020-02-21,2
2020-02-21,4
2020-02-21,5
2020-02-21,6
2020-02-21,8
2020-02-21,9
2020-02-21,10
2020-02-21,11
2020-02-21,12
2020-02-21,13
2020-02-21,15
2020-02-21,16
2020-02-21,17
2020-02-21,18
2020-02-21,19
2020-02-21,20
2020-02-21,21
2020-02-21,22
2020-02-21,23
2020-02-21,24
2020-02-21,25
2020-02-21,26
2020-02-21,27
2020-02-21,28
2020-02-21,29
2020-02-21,30
2020-02-21,31
2020-02-21,32
2020-02-21,33
2020-02-21,34
2020-02-21,35
2020-02-21,36
2020-02-21,37
2020-02-21,38
2020-02-21,39
2020-02-21,40
2020-02-21,41
2020-02-21,42
2020-02-21,44
2020-02-21,45
2020-02-21,46
2020-02-21,47
2020-02-21,48
2020-02-21,49
2020-02-21,50
2020-02-21,51
2020-02-21,53
2020-02-21,54
2020-02-21,55
2020-02-21,56
2020-02-22,1
2020-02-22,2
2020-02-22,4
2020-02-22,5
2020-02-22,6
2020-02-22,8
2020-02-22,9
2020-02-22,10
2020-02-22,11
2020-02-22,12
2020-02-22,13
2020-02-22,15
2020-02-22,16
2020-02-22,17
2020-02-22,18
2020-02-22,19
2020-02-22,20
2020-02-22,21
2020-02-22,22
2020-02-22,23
2020-02-22,24
2020-02-22,25
2020-02-22,26
2020-02-22,27
2020-02-22,28
2020-02-22,29
2020-02-22,30
2020-02-22,31
2020-02-22,32
2020-02-22,33
2020-02-22,34
2020-02-22,35
2020-02-22,36
2020-02-22,37
2020-02-22,38
2020-02-22,39
2020-02-22,40
2020-02-22,41
2020-02-22,42
2020-02-22,44
2020-02-22,45
2020-02-22,46
2020-02-22,47
2020-02-22,48
2020-02-22,49
2020-02-22,50
2020-02-22,51
2020-02-22,53
2020-02-22,54
2020-02-22,55
2020-02-22,56
2020-02-23,1
2020-02-23,2
2020-02-23,4
2020-02-23,5
2020-02-23,6
2020-02-23,8
2020-02-23,9
2020-02-23,10
2020-02-23,11
2020-02-23,12
2020-02-23,13
2020-02-23,15
2020-02-23,16
2020-02-23,17
2020-02-23,18
2020-02-23,19
2020-02-23,20
2020-02-23,21
2020-02-23,22
2020-02-23,23
2020-02-23,24
2020-02-23,25
2020-02-23,26
2020-02-23,27
2020-02-23,28
2020-02-23,29
2020-02-23,30
2020-02-23,31
2020-02-23,32
2020-02-23,33
2020-02-23,34
2020-02-23,35
2020-02-23,36
2020-02-23,37
2020-02-23,38
2020-02-23,39
2020-02-23,40
2020-02-23,41
2020-02-23,42
2020-02-23,44
2020-02-23,45
2020-02-23,46
2020-02-23,47
2020-02-23,48
2020-02-23,49
2020-02-23,50
2020-02-23,51
2020-02-23,53
2020-02-23,54
2020-02-23,55
2020-02-23,56
2020-02-24,1
2020-02-24,2
2020-02-24,4
2020-02-24,5
2020-02-24,6
2020-02-24,8
2020-02-24,9
2020-02-24,10
2020-02-24,11
2020-02-24,12
2020-02-24,13
2020-02-24,15
2020-02-24,16
2020-02-24,17
2020-02-24,18
2020-02-24,19
2020-02-24,20
2020-02-24,21
2020-02-24,22
2020-02-24,23
2020-02-24,24
2020-02-24,25
2020-02-24,26
2020-02-24,27
2020-02-24,28
2020-02-24,29
2020-02-24,30
2020-02-24,31
2020-02-24,32
2020-02-24,33
2020-02-24,34
2020-02-24,35
2020-02-24,36
2020-02-24,37
2020-02-24,38
2020-02-24,39
2020-02-24,40
2020-02-24,41
2020-02-24,42
2020-02-24,44
2020-02-24,45
2020-02-24,46
2020-02-24,47
2020-02-24,48
2020-02-24,49
2020-02-24,50
2020-02-24,51
2020-02-24,53
2020-02-24,54
2020-02-24,55
2020-02-24,56
2020-02-25,1
2020-02-25,2
2020-02-25,4
2020-02-25,5
2020-02-25,6
2020-02-25,8
2020-02-25,9
2020-02-25,10
2020-02-25,11
2020-02-25,12
2020-02-25,13
2020-02-25,15
2020-02-25,16
2020-02-25,17
2020-02-25,18
2020-02-25,19
2020-02-25,20
2020-02-25,21
2020-02-25,22
2020-02-25,23
2020-02-25,24
2020-02-25,25
2020-02-25,26
2020-02-25,27
2020-02-25,28
2020-02-25,29
2020-02-25,30
2020-02-25,31
2020-02-25,32
2020-02-25,33
2020-02-25,34
2020-02-25,35
2020-02-25,36
2020-02-25,37
2020-02-25,38
2020-02-25,39
2020-02-25,40
2020-02-25,41
2020-02-25,42
2020-02-25,44
2020-02-25,45
2020-02-25,46
2020-02-25,47
2020-02-25,48
2020-02-25,49
2020-02-25,50
2020-02-25,51
2020-02-25,53
2020-02-25,54
2020-02-25,55
2020-02-25,56
2020-02-26,1
2020-02-26,2
2020-02-26,4
2020-02-26,5
2020-02-26,6
2020-02-26,8
2020-02-26,9
2020-02-26,10
2020-02-26,11
2020-02-26,12
2020-02-26,13
2020-02-26,15
2020-02-26,16
2020-02-26,17
2020-02-26,18
2020-02-26,19
2020-02-26,20
2020-02-26,21
2020-02-26,22
2020-02-26,23
2020-02-26,24
2020-02-26,25
2020-02-26,26
2020-02-26,27
2020-02-26,28
2020-02-26,29
2020-02-26,30
2020-02-26,31
2020-02-26,32
2020-02-26,33
2020-02-26,34
2020-02-26,35
2020-02-26,36
2020-02-26,37
2020-02-26,38
2020-02-26,39
2020-02-26,40
2020-02-26,41
2020-02-26,42
2020-02-26,44
2020-02-26,45
2020-02-26,46
2020-02-26,47
2020-02-26,48
2020-02-26,49
2020-02-26,50
2020-02-26,51
2020-02-26,53
2020-02-26,54
2020-02-26,55
2020-02-26,56
2020-02-27,1
2020-02-27,2
2020-02-27,4
2020-02-27,5
2020-02-27,6
2020-02-27,8
2020-02-27,9
2020-02-27,10
2020-02-27,11
2020-02-27,12
2020-02-27,13
2020-02-27,15
2020-02-27,16
2020-02-27,17
2020-02-27,18
2020-02-27,19
2020-02-27,20
2020-02-27,21
2020-02-27,22
2020-02-27,23
2020-02-27,24
2020-02-27,25
2020-02-27,26
2020-02-27,27
2020-02-27,28
2020-02-27,29
2020-02-27,30
2020-02-27,31
2020-02-27,32
2020-02-27,33
2020-02-27,34
2020-02-27,35
2020-02-27,36
2020-02-27,37
2020-02-27,38
2020-02-27,39
2020-02-27,40
2020-02-27,41
2020-02-27,42
2020-02-27,44
2020-02-27,45
2020-02-27,46
2020-02-27,47
2020-02-27,48
2020-02-27,49
2020-02-27,50
2020-02-27,51
2020-02-27,53
2020-02-27,54
2020-02-27,55
2020-02-27,56
2020-02-28,1
2020-02-28,2
2020-02-28,4
2020-02-28,5
2020-02-28,6
2020-02-28,8
2020-02-28,9
2020-02-28,10
2020-02-28,11
2020-02-28,12
2020-02-28,13
2020-02-28,15
2020-02-28,16
2020-02-28,17
2020-02-28,18
2020-02-28,19
2020-02-28,20
2020-02-28,21
2020-02-28,22
2020-02-28,23
2020-02-28,24
2020-02-28,25
2020-02-28,26
2020-02-28,27
2020-02-28,28
2020-02-28,29
2020-02-28,30
2020-02-28,31
2020-02-28,32
2020-02-28,33
2020-02-28,34
2020-02-28,35
2020-02-28,36
